Cluster Size	Current [pA]
1.0	0.020000
14.6	0.130000
28.3	0.140000
41.9	0.140000
55.5	0.150000
69.1	0.130000
82.8	0.140000
96.4	0.140000
110.0	0.150000
123.6	0.160000
137.3	0.190000
150.9	0.200000
164.5	0.220000
178.1	0.280000
191.8	0.320000
205.4	0.400000
219.0	0.500000
232.6	0.600000
246.3	0.730000
259.9	0.870000
273.5	1.020000
287.2	1.130000
300.8	1.230000
314.4	1.310000
328.0	1.370000
341.7	1.410000
355.3	1.440000
368.9	1.430000
382.5	1.440000
396.2	1.430000
409.8	1.410000
423.4	1.380000
437.0	1.340000
450.7	1.310000
464.3	1.270000
477.9	1.210000
491.5	1.180000
505.2	1.120000
518.8	1.090000
532.4	1.030000
546.1	0.990000
559.7	0.950000
573.3	0.900000
586.9	0.860000
600.6	0.810000
614.2	0.770000
627.8	0.740000
641.4	0.690000
655.1	0.660000
668.7	0.630000
682.3	0.590000
695.9	0.550000
709.6	0.530000
723.2	0.510000
736.8	0.480000
750.4	0.450000
764.1	0.450000
777.7	0.400000
791.3	0.400000
804.9	0.360000
818.6	0.350000
832.2	0.330000
845.8	0.320000
859.5	0.300000
873.1	0.280000
886.7	0.290000
900.3	0.270000
914.0	0.260000
927.6	0.250000
941.2	0.250000
954.8	0.230000
968.5	0.220000
982.1	0.220000
995.7	0.210000
1009.3	0.210000
1023.0	0.210000
1036.6	0.190000
1050.2	0.190000
1063.8	0.180000
1077.5	0.190000
1091.1	0.180000
1104.7	0.180000
1118.4	0.170000
1132.0	0.160000
1145.6	0.170000
1159.2	0.160000
1172.9	0.160000
1186.5	0.160000
1200.1	0.160000
1213.7	0.160000
1227.4	0.160000
1241.0	0.150000
1254.6	0.150000
1268.2	0.140000
1281.9	0.150000
1295.5	0.140000
1309.1	0.140000
1322.7	0.140000
1336.4	0.140000
1350.0	0.140000
